id,name,target_case,expects,expected_code,schema_code,compiler_code,actual_code,outcome,manuscript_ref,detail
ADV-019,governance artifact signed by an unauthorized key,case_a,reject,SIGNATURE_INVALID,,SIGNATURE_INVALID,SIGNATURE_INVALID,PASS,Section VI-A step 1,signature key 'key.unauthorized_party' is not the expected authority 'key.governance_forum_a'
ADV-020,governance artifact with its signature removed,case_a,reject,SIGNATURE_INVALID,,SIGNATURE_INVALID,SIGNATURE_INVALID,PASS,Section VI-A step 1,governance artifact 'acs' carries no signature; Phi step 1 requires signed inputs
ADV-021,action tuple outside S.authority_matrix,case_a,reject,AUTHORITY_CLOSURE_VIOLATION,,AUTHORITY_CLOSURE_VIOLATION,AUTHORITY_CLOSURE_VIOLATION,PASS,Section III Step 2; Appendix A constraint 5,action tuple research_agent/place_order/research_report/internal_distribution is not present in S.authority_matrix
ADV-022,action parameter outside the approved parameter schema,case_a,reject,AUTHORITY_CLOSURE_VIOLATION,,AUTHORITY_CLOSURE_VIOLATION,AUTHORITY_CLOSURE_VIOLATION,PASS,Section VI-A step 4,action parameters for research_agent/publish_report/research_report/internal_distribution fall outside S.authority_matrix: parameter 'unapproved_parameter' is not authorized by the matrix parameter_schema
ADV-023,action parameter value outside the approved enum,case_a,reject,AUTHORITY_CLOSURE_VIOLATION,,AUTHORITY_CLOSURE_VIOLATION,AUTHORITY_CLOSURE_VIOLATION,PASS,Section VI-A step 4,"action parameters for research_agent/publish_report/research_report/internal_distribution fall outside S.authority_matrix: parameter 'distribution_list' value 'external_client_distribution' does not satisfy {'enum': ['internal_research_desk', 'internal_all_analysts'], 'required': True, 'type': 'string'}"
ADV-024,parameter_schema_ref pointing at another matrix row's schema,case_a,reject,AUTHORITY_CLOSURE_VIOLATION,,AUTHORITY_CLOSURE_VIOLATION,AUTHORITY_CLOSURE_VIOLATION,PASS,Section VI-A step 4,action parameters for research_agent/publish_report/research_report/internal_distribution fall outside S.authority_matrix: parameter_schema_ref 'PS-RETRIEVE' does not resolve to the matrix entry's parameter schema 'PS-PUBLISH-REPORT'
ADV-025,hazardous action path not present in the authority matrix,case_a,reject,AUTHORITY_CLOSURE_VIOLATION,,AUTHORITY_CLOSURE_VIOLATION,AUTHORITY_CLOSURE_VIOLATION,PASS,Section VII-A,risk R-05 declares hazardous action path research_agent/place_order/order_ticket/order_management_system which is not in S.authority_matrix
ADV-026,mandatory gate with on_unknown = warn,case_a,reject,A2_MANDATORY_ON_UNKNOWN,,A2_MANDATORY_ON_UNKNOWN,A2_MANDATORY_ON_UNKNOWN,PASS,Section V; Section VI-A step 8; Appendix A constraint 2,predicate GCIR-0001 is a mandatory gate but conditions ['unresolved_claim_objects_present'] declare on_unknown != fail; Appendix A constraint 2
ADV-027,mandatory gate with on_unknown = pass_with_approved_exception,case_a,reject,A2_MANDATORY_ON_UNKNOWN,,A2_MANDATORY_ON_UNKNOWN,A2_MANDATORY_ON_UNKNOWN,PASS,Section V; Appendix A constraint 2,predicate GCIR-0001 is a mandatory gate but conditions ['unresolved_claim_objects_present'] declare on_unknown != fail; Appendix A constraint 2
ADV-028,mandatory gate with on_fail != SAFE_STATE,case_a,reject,TEMPLATE_CONFORMANCE_FAILURE,,TEMPLATE_CONFORMANCE_FAILURE,TEMPLATE_CONFORMANCE_FAILURE,PASS,Appendix A constraint 1,ACS ACS-0001-01 does not conform to catalog template output_schema_claim_resolution/T-CLAIM-RESOLVE: on_fail 'WARN' is not in the template's permitted_responses ['SAFE_STATE']
ADV-029,numeric condition with no threshold contract,case_a,reject,A3_THRESHOLD_CONTRACT_MISSING,,A3_THRESHOLD_CONTRACT_MISSING,A3_THRESHOLD_CONTRACT_MISSING,PASS,Section V commitment 4; Appendix A constraint 3,predicate GCIR-0003 condition 'max_source_age_hours' uses numeric/temporal operator '<=' with no threshold_contract_ref; Appendix A constraint 3
ADV-030,threshold contract that resolves to nothing,case_a,reject,A3_THRESHOLD_CONTRACT_UNRESOLVED,,A3_THRESHOLD_CONTRACT_UNRESOLVED,A3_THRESHOLD_CONTRACT_UNRESOLVED,PASS,Appendix A constraint 3,predicate GCIR-0003 references threshold contract 'TC-DOES-NOT-EXIST' which does not exist
ADV-031,threshold contract missing its unit,case_a,reject,A3_THRESHOLD_UNIT_MISSING|SCHEMA_VALIDATION_FAILED,SCHEMA_VALIDATION_FAILED,A3_THRESHOLD_UNIT_MISSING,SCHEMA_VALIDATION_FAILED|A3_THRESHOLD_UNIT_MISSING,PASS,Appendix A constraint 3,TC-COVERAGE-SKEW failed threshold_contract.schema.json validation: unit: '' should be non-empty || threshold contract 'TC-COVERAGE-SKEW' carries no unit; Appendix A constraint 3
ADV-032,threshold contract missing its uncertainty method,case_a,reject,A3_THRESHOLD_CONTRACT_INCOMPLETE|SCHEMA_VALIDATION_FAILED,SCHEMA_VALIDATION_FAILED,A3_THRESHOLD_CONTRACT_INCOMPLETE,SCHEMA_VALIDATION_FAILED|A3_THRESHOLD_CONTRACT_INCOMPLETE,PASS,Section V commitment 4,"TC-COVERAGE-SKEW failed threshold_contract.schema.json validation: uncertainty_method: '' should be non-empty || threshold contract 'TC-COVERAGE-SKEW' is incomplete, missing ['uncertainty_method']; Section V commitment 4"
ADV-033,weighted predicate with no aggregation block,case_a,reject,A4_WEIGHTED_STRUCTURE|SCHEMA_VALIDATION_FAILED,,A4_WEIGHTED_STRUCTURE,A4_WEIGHTED_STRUCTURE,PASS,Section V commitment 3; Appendix A constraint 4,predicate GCIR-0004 is weighted but carries no aggregation block; Appendix A constraint 4
ADV-034,weighted predicate with a non-positive weight,case_a,reject,A4_WEIGHTED_WEIGHT|SCHEMA_VALIDATION_FAILED,SCHEMA_VALIDATION_FAILED,A4_WEIGHTED_WEIGHT,SCHEMA_VALIDATION_FAILED|A4_WEIGHTED_WEIGHT,PASS,Section V commitment 3; Appendix A constraint 4,"approved_control_specifications failed acs.schema.json validation: records/3/aggregation/weight: 0 is less than or equal to the minimum of 0 || predicate GCIR-0004 weighted aggregation requires a positive weight, got 0"
ADV-035,evidence producer outside the catalog's allowed_producers,case_a,reject,TEMPLATE_CONFORMANCE_FAILURE,,TEMPLATE_CONFORMANCE_FAILURE,TEMPLATE_CONFORMANCE_FAILURE,PASS,Section VI-A step 5,ACS ACS-0001-01 does not conform to catalog template output_schema_claim_resolution/T-CLAIM-RESOLVE: observable_producer 'an_unapproved_producer_v9' is not in the template's allowed_producers ['brief_schema_validator_v2']
ADV-036,evidence schema reference that the template does not name,case_a,reject,TEMPLATE_CONFORMANCE_FAILURE,,TEMPLATE_CONFORMANCE_FAILURE,TEMPLATE_CONFORMANCE_FAILURE,PASS,Section VI-A step 5,ACS ACS-0001-01 does not conform to catalog template output_schema_claim_resolution/T-CLAIM-RESOLVE: evidence_schema_ref 'ES-SOMETHING-ELSE' does not resolve to the template's evidence schema 'ES-CLAIM-RESOLUTION'
ADV-037,evaluation basis outside the closed set,case_a,reject,SCHEMA_VALIDATION_FAILED|TEMPLATE_CONFORMANCE_FAILURE,SCHEMA_VALIDATION_FAILED,TEMPLATE_CONFORMANCE_FAILURE,SCHEMA_VALIDATION_FAILED|TEMPLATE_CONFORMANCE_FAILURE,PASS,Section V commitment 2,"approved_control_specifications failed acs.schema.json validation: records/0/evaluation_basis: 'probabilistic_classifier_score' is not one of ['deterministic_lookup', 'threshold_on_measured_value', 'structural_check', 'human_attestation'] || ACS ACS-0001-01 does not conform to catalog template output_schema_claim_resolution/T-CLAIM-RESOLVE: evaluation_basis 'probabilistic_classifier_score' is not the approved basis 'structural_check' for this template"
ADV-038,operator outside the template's allowed_operators,case_a,reject,TEMPLATE_CONFORMANCE_FAILURE,,TEMPLATE_CONFORMANCE_FAILURE,TEMPLATE_CONFORMANCE_FAILURE,PASS,Section IV-B,ACS ACS-0001-01 does not conform to catalog template output_schema_claim_resolution/T-CLAIM-RESOLVE: operator '>=' is not in the template's allowed_operators ['==']
ADV-039,expected value violating the template value schema,case_a,reject,TEMPLATE_CONFORMANCE_FAILURE,,TEMPLATE_CONFORMANCE_FAILURE,TEMPLATE_CONFORMANCE_FAILURE,PASS,Section IV-B,ACS ACS-0001-01 does not conform to catalog template output_schema_claim_resolution/T-CLAIM-RESOLVE: expected_value 'maybe' does not satisfy the template value_schema {'type': 'boolean'}
ADV-040,triple template reused for a different action path,case_a,reject,TEMPLATE_CONFORMANCE_FAILURE,,TEMPLATE_CONFORMANCE_FAILURE,TEMPLATE_CONFORMANCE_FAILURE,PASS,Section IV-B,ACS ACS-0001-01 does not conform to catalog template output_schema_claim_resolution/T-CLAIM-RESOLVE: action 'invoke_tool' is not permitted by the template's triple_template ['publish_report']; resource 'external_tool' is not permitted by the template's triple_template ['research_report']; destination 'tool_gateway' is not permitted by the template's triple_template ['internal_distribution']
ADV-041,C* risk whose only gate is downgraded to advisory,case_a,reject,CSTAR_COVERAGE_INCOMPLETE,,CSTAR_COVERAGE_INCOMPLETE,CSTAR_COVERAGE_INCOMPLETE,PASS,Section VII-A; Appendix A constraint 12,C* coverage requirement CV is not satisfied for 1 path(s)
ADV-042,C* risk whose gate is marked supporting rather than decisive,case_a,reject,CSTAR_COVERAGE_INCOMPLETE,,CSTAR_COVERAGE_INCOMPLETE,CSTAR_COVERAGE_INCOMPLETE,PASS,Section VII-A,C* coverage requirement CV is not satisfied for 1 path(s)
ADV-043,C* risk declaring a second hazardous path with no gate,case_a,reject,CSTAR_COVERAGE_INCOMPLETE,,CSTAR_COVERAGE_INCOMPLETE,CSTAR_COVERAGE_INCOMPLETE,PASS,Section VII-A,C* coverage requirement CV is not satisfied for 1 path(s)
ADV-044,C* risk with no hazardous action path declared,case_a,reject,CSTAR_COVERAGE_INCOMPLETE,,CSTAR_COVERAGE_INCOMPLETE,CSTAR_COVERAGE_INCOMPLETE,PASS,Section VII-A,C* coverage requirement CV is not satisfied for 1 path(s)
ADV-045,consequence descriptor with an unknown materiality level,case_a,reject,MATERIALITY_UNKNOWN,,MATERIALITY_UNKNOWN,MATERIALITY_UNKNOWN,PASS,Section VII-A,"consequence descriptor materiality 'quite_bad_actually' is outside the approved materiality order ['immaterial', 'minor', 'material', 'severe']"
ADV-046,C* profile member kind with no classification rule,case_a,reject,CSTAR_RULE_MISSING,,CSTAR_RULE_MISSING,CSTAR_RULE_MISSING,PASS,Section VII-A,"C* member kind 'a_kind_with_no_rule' has no recorded classification rule (approving authority, rationale, materiality boundary, effective date)"
ADV-047,risk analysis row with no consequence descriptor,case_a,compile,,,,none,PASS,Section V reason code RC-05,compiled; hash=ec76b81d89b43128; warnings=none
ADV-048,runtime disposition with no signed selection in J,case_a,reject,REFINEMENT_NOT_CLOSED,,REFINEMENT_NOT_CLOSED,REFINEMENT_NOT_CLOSED,PASS,Section IV-A,Psi_K is not closed by the supplied judgment record: risk R-13 is dispositioned runtime but the judgment record carries no signed selection for it -- Psi_K is not closed
ADV-049,judgment record selecting a template the catalog lacks,case_a,reject,REFINEMENT_NOT_CLOSED,,REFINEMENT_NOT_CLOSED,REFINEMENT_NOT_CLOSED,PASS,"Section IV-A, IV-B",Psi_K is not closed by the supplied judgment record: acs ACS-0001-01 declares template_id 'T-CLAIM-RESOLVE' but the judgment record selected 'T-INVENTED'; judgment record selects catalog template output_schema_claim_resolution/T-INVENTED which the approved catalog does not contain -- Section IV-B forbids heuristic resolution
ADV-050,ACS approver differing from the judgment record's approver,case_a,reject,REFINEMENT_NOT_CLOSED,,REFINEMENT_NOT_CLOSED,REFINEMENT_NOT_CLOSED,PASS,Section IV-A,Psi_K is not closed by the supplied judgment record: acs ACS-0001-01 names approver 'someone.else' but the judgment record records 'forum.chair_l_tremblay'
ADV-051,judgment record bound to a different assessment,case_a,reject,VERSION_BINDING_MISMATCH,,VERSION_BINDING_MISMATCH,VERSION_BINDING_MISMATCH,PASS,Section IV-A; Section VI-A step 1,"version binding validation failed: judgment record J-CASE-A is bound to 'VB-SOMETHING-ELSE', not to the assessment binding 'VB-CASE-A-1.0'"
ADV-052,non-runtime disposition with no reason code,case_a,reject,SCHEMA_VALIDATION_FAILED|REFINEMENT_NOT_CLOSED,SCHEMA_VALIDATION_FAILED,REFINEMENT_NOT_CLOSED,SCHEMA_VALIDATION_FAILED|REFINEMENT_NOT_CLOSED,PASS,Section V; Appendix A,"dispositions failed dispositions.schema.json validation: records/13: {'approval': {'approval_time': '2026-01-20T14:00:00Z', 'approver': 'forum.chair_l_tremblay', 'forum': 'ai_governance_forum'}, 'control_ref': 'CTL-A-RESILIENCE-01 (multi-vendor clause; annual resilience testing; OSFI B-10 alignment)', 'owner': 'technology.applied_ai_platform', 'risk_id': 'R-14', 'routed_to_control_family': 'archit || Psi_K is not closed by the supplied judgment record: risk R-14: non-runtime reason_code None is outside the closed v1.0 set ['RC-01', 'RC-02', 'RC-03', 'RC-05']"
ADV-053,non-runtime disposition with a reason code outside the closed set,case_a,reject,SCHEMA_VALIDATION_FAILED|REFINEMENT_NOT_CLOSED,SCHEMA_VALIDATION_FAILED,REFINEMENT_NOT_CLOSED,SCHEMA_VALIDATION_FAILED|REFINEMENT_NOT_CLOSED,PASS,Section V,"dispositions failed dispositions.schema.json validation: records/13: {'approval': {'approval_time': '2026-01-20T14:00:00Z', 'approver': 'forum.chair_l_tremblay', 'forum': 'ai_governance_forum'}, 'control_ref': 'CTL-A-RESILIENCE-01 (multi-vendor clause; annual resilience testing; OSFI B-10 alignment)', 'owner': 'technology.applied_ai_platform', 'reason_code': 'RC-04', 'risk_id': 'R-14', 'routed_to_ || Psi_K is not closed by the supplied judgment record: risk R-14: non-runtime reason_code 'RC-04' is outside the closed v1.0 set ['RC-01', 'RC-02', 'RC-03', 'RC-05']"
ADV-054,non-runtime disposition that also binds an ACS,case_a,reject,REFINEMENT_NOT_CLOSED|SCHEMA_VALIDATION_FAILED,SCHEMA_VALIDATION_FAILED,REFINEMENT_NOT_CLOSED,SCHEMA_VALIDATION_FAILED|REFINEMENT_NOT_CLOSED,PASS,Section IV-D,"dispositions failed dispositions.schema.json validation: records/13: {'approval': {'approval_time': '2026-01-20T14:00:00Z', 'approver': 'forum.chair_l_tremblay', 'forum': 'ai_governance_forum'}, 'control_ref': 'CTL-A-RESILIENCE-01 (multi-vendor clause; annual resilience testing; OSFI B-10 alignment)', 'owner': 'technology.applied_ai_platform', 'reason_code': 'RC-01', 'risk_id': 'R-14', 'routed_to_ || Psi_K is not closed by the supplied judgment record: risk R-14 is dispositioned nonruntime but binds Approved Control Specifications"
POS-001,unmutated case,case_a,compile,,,,none,PASS,"Sections IX, X",compiled; hash=ec76b81d89b43128; warnings=none
POS-002,reordered register and specification records,case_a,compile,,,,none,PASS,Section VI-C,compiled; hash=ec76b81d89b43128; warnings=none
POS-003,non-mandatory condition with an approved fail-open exception,case_a,compile,,,,none,PASS,Section V commitment 1,compiled; hash=e3864848d7cda6fd; warnings=none
POS-004,C* risk carrying an additional supporting advisory predicate,case_a,compile,,,,none,PASS,Section VII-A,compiled; hash=e0b7bb64c1f80b99; warnings=none
POS-005,risk yielding several predicates,case_a,compile,,,,none,PASS,"Sections IV-D, VI-E",compiled; hash=ec76b81d89b43128; warnings=none
