run_id,case,permutation,permutation_spec,permutation_seed,environment,python_hash_seed,locale,timezone,hash,reference_hash,pass
case_a-011,case_a,all_permutations,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""key_order"": ""shuffle"", ""numeric_form"": true, ""obligation_order"": true, ""risk_order"": true}",597850609,in_process,2207399378,C,UTC,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-012,case_a,mixed_12,"{""acs_order"": true, ""catalog_order"": true, ""key_order"": ""shuffle"", ""numeric_form"": true, ""risk_order"": true}",31726776,clean_process,2773995126,en_US.UTF-8,Pacific/Chatham,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-013,case_a,mixed_13,"{""acs_order"": true, ""numeric_form"": true, ""obligation_order"": true, ""risk_order"": true}",1174411501,in_process,1462907376,de_DE.UTF-8,America/Edmonton,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-014,case_a,mixed_14,"{""acs_order"": true, ""catalog_order"": true, ""key_order"": ""shuffle""}",1635826178,clean_process,1702623269,tr_TR.UTF-8,Europe/Berlin,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-015,case_a,mixed_15,"{""acs_order"": true, ""numeric_form"": true, ""risk_order"": true}",1716008713,in_process,3765136552,ja_JP.UTF-8,Asia/Kolkata,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-016,case_a,mixed_16,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""numeric_form"": true}",1506642549,clean_process,1081703438,C,UTC,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-017,case_a,mixed_17,"{""authority_order"": true, ""catalog_order"": true, ""key_order"": ""rotate"", ""risk_order"": true}",1956829085,in_process,1664501173,en_US.UTF-8,Pacific/Chatham,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-018,case_a,mixed_18,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""key_order"": ""shuffle"", ""obligation_order"": true, ""risk_order"": true}",1569960880,clean_process,1835446756,de_DE.UTF-8,America/Edmonton,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-019,case_a,mixed_19,"{""acs_order"": true, ""catalog_order"": true, ""key_order"": ""rotate"", ""obligation_order"": true, ""risk_order"": true}",1987503085,in_process,233487126,tr_TR.UTF-8,Europe/Berlin,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-020,case_a,mixed_20,"{""authority_order"": true, ""key_order"": ""shuffle"", ""risk_order"": true}",811604081,clean_process,2206780347,ja_JP.UTF-8,Asia/Kolkata,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-021,case_a,mixed_21,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""key_order"": ""rotate"", ""obligation_order"": true, ""risk_order"": true}",475092841,in_process,3176987125,C,UTC,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-022,case_a,mixed_22,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""key_order"": ""shuffle"", ""risk_order"": true}",1971711356,clean_process,1634185929,en_US.UTF-8,Pacific/Chatham,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-023,case_a,mixed_23,"{""acs_order"": true, ""catalog_order"": true, ""key_order"": ""rotate"", ""obligation_order"": true}",663842876,in_process,1515939365,de_DE.UTF-8,America/Edmonton,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-024,case_a,mixed_24,"{""authority_order"": true, ""catalog_order"": true, ""key_order"": ""shuffle"", ""obligation_order"": true, ""risk_order"": true}",922854550,clean_process,287646517,tr_TR.UTF-8,Europe/Berlin,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-025,case_a,mixed_25,"{""catalog_order"": true, ""key_order"": ""shuffle"", ""numeric_form"": true, ""obligation_order"": true, ""risk_order"": true}",2003604748,in_process,832568412,ja_JP.UTF-8,Asia/Kolkata,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-026,case_a,mixed_26,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""key_order"": ""rotate"", ""numeric_form"": true, ""risk_order"": true}",725747651,clean_process,1464132672,C,UTC,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-027,case_a,mixed_27,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""key_order"": ""rotate"", ""numeric_form"": true}",259437618,in_process,3007430087,en_US.UTF-8,Pacific/Chatham,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-028,case_a,mixed_28,"{""authority_order"": true, ""catalog_order"": true, ""key_order"": ""shuffle"", ""numeric_form"": true, ""obligation_order"": true, ""risk_order"": true}",1262716858,clean_process,1125066722,de_DE.UTF-8,America/Edmonton,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-029,case_a,mixed_29,"{""authority_order"": true, ""key_order"": ""reverse"", ""obligation_order"": true, ""risk_order"": true}",1079478998,in_process,1790497595,tr_TR.UTF-8,Europe/Berlin,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-030,case_a,mixed_30,"{""catalog_order"": true, ""key_order"": ""reverse"", ""obligation_order"": true}",766887606,clean_process,3869468634,ja_JP.UTF-8,Asia/Kolkata,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_b-001,case_b,baseline,{},96029441,in_process,48046374,C,UTC,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-002,case_b,key_order_reverse,"{""key_order"": ""reverse""}",639597101,clean_process,4110778351,en_US.UTF-8,Pacific/Chatham,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-003,case_b,key_order_shuffle,"{""key_order"": ""shuffle""}",13918715,in_process,447026317,de_DE.UTF-8,America/Edmonton,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-004,case_b,key_order_rotate,"{""key_order"": ""rotate""}",1895190805,clean_process,4095724329,tr_TR.UTF-8,Europe/Berlin,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-005,case_b,risk_order,"{""risk_order"": true}",2023481059,in_process,215321799,ja_JP.UTF-8,Asia/Kolkata,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-006,case_b,obligation_order,"{""obligation_order"": true}",824110192,clean_process,3082026876,C,UTC,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-007,case_b,acs_order,"{""acs_order"": true}",1921478837,in_process,92540749,en_US.UTF-8,Pacific/Chatham,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-008,case_b,catalog_order,"{""catalog_order"": true}",381326646,clean_process,3845123093,de_DE.UTF-8,America/Edmonton,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-009,case_b,authority_order,"{""authority_order"": true}",1100509109,in_process,527853120,tr_TR.UTF-8,Europe/Berlin,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-010,case_b,numeric_form,"{""numeric_form"": true}",77767528,clean_process,1136804847,ja_JP.UTF-8,Asia/Kolkata,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-011,case_b,all_permutations,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""key_order"": ""shuffle"", ""numeric_form"": true, ""obligation_order"": true, ""risk_order"": true}",597850609,in_process,2207399378,C,UTC,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-012,case_b,mixed_12,"{""acs_order"": true, ""catalog_order"": true, ""key_order"": ""shuffle"", ""numeric_form"": true, ""risk_order"": true}",31726776,clean_process,2773995126,en_US.UTF-8,Pacific/Chatham,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-013,case_b,mixed_13,"{""acs_order"": true, ""numeric_form"": true, ""obligation_order"": true, ""risk_order"": true}",1174411501,in_process,1462907376,de_DE.UTF-8,America/Edmonton,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-014,case_b,mixed_14,"{""acs_order"": true, ""catalog_order"": true, ""key_order"": ""shuffle""}",1635826178,clean_process,1702623269,tr_TR.UTF-8,Europe/Berlin,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-015,case_b,mixed_15,"{""acs_order"": true, ""numeric_form"": true, ""risk_order"": true}",1716008713,in_process,3765136552,ja_JP.UTF-8,Asia/Kolkata,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-016,case_b,mixed_16,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""numeric_form"": true}",1506642549,clean_process,1081703438,C,UTC,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-017,case_b,mixed_17,"{""authority_order"": true, ""catalog_order"": true, ""key_order"": ""rotate"", ""risk_order"": true}",1956829085,in_process,1664501173,en_US.UTF-8,Pacific/Chatham,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-018,case_b,mixed_18,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""key_order"": ""shuffle"", ""obligation_order"": true, ""risk_order"": true}",1569960880,clean_process,1835446756,de_DE.UTF-8,America/Edmonton,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-019,case_b,mixed_19,"{""acs_order"": true, ""catalog_order"": true, ""key_order"": ""rotate"", ""obligation_order"": true, ""risk_order"": true}",1987503085,in_process,233487126,tr_TR.UTF-8,Europe/Berlin,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-020,case_b,mixed_20,"{""authority_order"": true, ""key_order"": ""shuffle"", ""risk_order"": true}",811604081,clean_process,2206780347,ja_JP.UTF-8,Asia/Kolkata,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-021,case_b,mixed_21,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""key_order"": ""rotate"", ""obligation_order"": true, ""risk_order"": true}",475092841,in_process,3176987125,C,UTC,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-022,case_b,mixed_22,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""key_order"": ""shuffle"", ""risk_order"": true}",1971711356,clean_process,1634185929,en_US.UTF-8,Pacific/Chatham,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-023,case_b,mixed_23,"{""acs_order"": true, ""catalog_order"": true, ""key_order"": ""rotate"", ""obligation_order"": true}",663842876,in_process,1515939365,de_DE.UTF-8,America/Edmonton,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-024,case_b,mixed_24,"{""authority_order"": true, ""catalog_order"": true, ""key_order"": ""shuffle"", ""obligation_order"": true, ""risk_order"": true}",922854550,clean_process,287646517,tr_TR.UTF-8,Europe/Berlin,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-025,case_b,mixed_25,"{""catalog_order"": true, ""key_order"": ""shuffle"", ""numeric_form"": true, ""obligation_order"": true, ""risk_order"": true}",2003604748,in_process,832568412,ja_JP.UTF-8,Asia/Kolkata,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-026,case_b,mixed_26,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""key_order"": ""rotate"", ""numeric_form"": true, ""risk_order"": true}",725747651,clean_process,1464132672,C,UTC,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-027,case_b,mixed_27,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""key_order"": ""rotate"", ""numeric_form"": true}",259437618,in_process,3007430087,en_US.UTF-8,Pacific/Chatham,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-028,case_b,mixed_28,"{""authority_order"": true, ""catalog_order"": true, ""key_order"": ""shuffle"", ""numeric_form"": true, ""obligation_order"": true, ""risk_order"": true}",1262716858,clean_process,1125066722,de_DE.UTF-8,America/Edmonton,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-029,case_b,mixed_29,"{""authority_order"": true, ""key_order"": ""reverse"", ""obligation_order"": true, ""risk_order"": true}",1079478998,in_process,1790497595,tr_TR.UTF-8,Europe/Berlin,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-030,case_b,mixed_30,"{""catalog_order"": true, ""key_order"": ""reverse"", ""obligation_order"": true}",766887606,clean_process,3869468634,ja_JP.UTF-8,Asia/Kolkata,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
